Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,1559,1559,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
1,1560,1560,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
2,1562,1562,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
3,1564,1564,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
4,1566,1566,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
5,1567,1567,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
6,1568,1568,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
7,1569,1569,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
8,1570,1570,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
9,1571,1571,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
10,1572,1578,11.0,0.0,0.0,15.94,0.0006,MIX_cosine_neutral_edge,cosine_neutral_edge,,,0.99,MIX,0.99
11,1574,1574,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
12,1575,1575,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
13,1576,1576,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
14,1577,1577,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
15,1579,1579,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
16,1581,1581,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
17,1582,1582,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
