Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
0,1563,1563,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
1,1564,1564,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
2,1566,1566,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
3,1567,1567,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
4,1568,1568,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
5,1569,1569,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
6,1570,1570,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
7,1571,1571,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
8,1572,1578,11.0,0.0,0.0,15.94,0.0006,MIX_cosine_neutral_edge,cosine_neutral_edge,,,0.99,MIX,0.99
9,1573,1573,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
10,1574,1574,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
11,1575,1575,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
12,1576,1576,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
13,1577,1577,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
14,1580,1580,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
15,1581,1581,0.0,0.0,0.0,0.0,0.0,MIX_self_edge,self_edge,,,0.0,MIX,0.0
16,1582,1582,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
17,1583,1583,0.0,0.0,0.0,0.0,0.0,NEG_self_edge,self_edge,,,0.0,NEG,0.0
